QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QA12AX75	kaltsiumglükonaat+boorhape+glükoos+magneesiumkloriid	Calcium gluconate+Boric acid+Glucose+Magnesium chloride
QA12AX76	kaltsiumhüpofosfit+boorhape+glükoos+kaltsiumglükonaat+magneesiumkloriid	Calcium hypophosphite+Boric acid+Glucose+Calcium gluconate+Magnesium chloride
QA12AX77	kaltsiumglükonaat+glükoos+magneesiumhüpofosfit	Calcium gluconate+Glucose+Magnesium hypophosphite
QA12AX78	kaltsiumglükonaat+magneesiumkloriid	Calcium gluconate+Magnesium chloride
QA12AX79	kaltsiumkloriid+magneesiumkloriid+glükoos+raud(II)sulfaat+vask(II)sulfaat+koobalt(II)kloriid	Calcium chloride+Magnesium chloride+Glucose+Iron (II) sulphate+Copper (II) sulphate+Cobalt (II) chloride
QA12AX80	kaltsiumkloriid+raud(II)sulfaat+vask(II)sulfaat+koobalt(II)kloriid+glükoos+magneesiumkloriid+mangaansulfaat	Calcium chloride+Ferrous sulphate+Copper (II) sulphate+Cobalt (II) chloride+Glucose+Magnesium chloride+Manganese sulphate
QA12AX82	kaltsiumglükonaat+boorhape+magneesiumkloriid+tsink+raudglütserofosfaat+mangaankloriid	Calcium gluconate+Boric acid+Magnesium chloride+Zinc+Ferrous glycerophosphate+Manganese chloride
QA12AX84	kaltsiumkarbonaat+karbakool+vatsa mikrofloora+emajuurejuur+dimetikoon+propioonhape	Calcium carbonate+Carbachol+Rumen flora+Gentian root+Dimeticone+Propionic acid
QA12AX87	kaltsiumkloriid+naatriumkloriid+naatriumatsetaattrihüdraat+magneesiumkloriid+kaaliumatsetaat	Calcium chloride+Sodium chloride+Sodium acetate trihydrate+Magnesium chloride+Potassium acetate
QA12AX88	kaltsiumglükonaat+kaltsiumlaktaat+magneesiumhüpofosfit+kaltsiumformaat	Calcium gluconate+Calcium lactate+Magnesium hypophosphite+Calcium formate
QA12AX89	kaltsiumglükonaat+epinefriin (adrenaliin)+boorhape+kofeiin+magneesium	Calcium gluconate+Epinephrine+Boric acid+Caffeine+Magnesium
QA12B	KAALIUM	POTASSIUM
QA12BA	Kaalium	Potassium
QA12C	TEISED MINERAALSED LISANDID	OTHER MINERAL SUPPLEMENTS
QA12CA	Naatrium	Sodium
QA12CB	Tsink	Zinc
QA12CB80	tsink+magneesium	Zinc+Magnesium
QA12CC	Magneesium	Magnesium
QA12CD	Fluor	Fluoride
QA12CE	Seleen	Selenium
QA12CE80	baariumselenaat	Barium selenate
QA12CE81	seleen+tokoferool	Selenium+Tocopherol
QA12CX	Teised mineraalained	Other mineral products
QA12CX80	butafosfaan+kobamamiid	Butafosfan+Cobamamide
QA12CX83	koobalt+raud(II)sulfaat	Cobalt+Ferrous sulphate
QA12CX84	naatriumtsitraat+glükoos+kaaliumkloriid+naatriumkloriid+naatriumatsetaattrihüdraat+kaaliumdivesinikfosfaat+naatriumpropionaat	Sodium citrate+Glucose+Potassium chloride+Sodium chloride+Sodium acetate trihydrate+Potassium dihydrogen phosphate+Sodium propionate
QA12CX85	glükoos+sidrunhape+kaaliumkloriid+naatriumkloriid+naatriumtsitraat+glütsiin+naatriumdivesinikfosfaatdihüdraat	Glucose+Citric acid+Potassium chloride+Sodium chloride+Sodium citrate+Glycine+Sodium dihydrogen phosphate dihydrate
QA12CX86	naatriumseleniit+kaaliumjodiid+kondroitiinsulfaat+naatriumkloriid+levokarnitiin+mangaansulfaat+kaltsiumaskorbaat+metioniin	Sodium selenite+Potassium iodide+Chondroitin sulfate+Sodium chloride+Levocarnitine+Manganese sulphate+Calcium ascorbate+Methionine
QA12CX87	naatriumvesinikkarbonaat+albumiintannaat+kaaliumkloriid+naatriumkloriid+lüsiin+DL-atsetüülmetioniin	Sodium hydrogen carbonate+Albumin tannate+Potassium chloride+Sodium chloride+Lysine+DL-acetylmethionine
QA12CX88	propioonhape+vasksulfaat+koobaltsulfaat+mangaanoksiid+naatriumpropionaat	Propionic acid+Copper sulphate+Cobalt sulphate+Manganese oxide+Sodium propionate
QA12CX89	naatriumkloriid+kaaliumkloriid+naatriumatsetaattrihüdraat	Sodium chloride+Potassium chloride+Sodium acetate trihydrate
QA12CX90	toldimfos	Toldimfos
QA12CX91	butafosfaan	Butafosfan
QA13	TOONIKUMID	TONICS
QA13A	TOONIKUMID	TONICS
QA14	ANABOOLSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANABOLIC AGENTS FOR SYSTEMIC USE
QA14A	ANABOOLSED STEROIDID	ANABOLIC STEROIDS
QA14AA	Androstaani derivaadid	Androstan derivatives
QA14AB	Östreeni derivaadid	Estren derivatives
QA14B	TEISED ANABOOLSED AINED	OTHER ANABOLIC AGENTS
QA15	SÖÖGIISU STIMULEERIVAD AINED	APPETITE STIMULANTS
QA16	TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
QA16A	TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
QA16AA	Aminohapped ja nende derivaadid	Amino acids and derivatives
QA16AA02	DL-atsetüülmetioniin	DL-acetylmethionine
QA16AA81	DL-atsetüülmetioniin+lüsiin	DL-acetylmethionine+Lysine
QA16AA82	rasvhapped	Fatty acids
QA16AB	Ensüümid	Enzymes
QA16AB81	ksülanaas+b-glükanaas	Xylanase+B-glucanase
QA16AX	Erinevad seedekulglat ja ainevahetust mõjutavad ained	Various alimentary tract and metabolism products
QA16AX82	metioniin+deksametasoon+glükoos	Methionine+Dexamethasone+Glucose
QA16AX83	naatriumpropionaat+magneesiumoksiid+naatriumkloriid+tsinksulfaat+vasksulfaat+koobaltsulfaat+magneesiumsulfaat+raud(II)sulfaat+atseetaniliid+kaaliumsulfaat+propioonhape+naatriummolübdaatdihüdraat	Sodium propionate+Magnesium oxide+Sodium chloride+Zinc sulphate+Copper sulphate+Cobalt sulphate+Magnesium sulphate+Ferrous sulphate+Acetanilide+Potassium sulphate+Propionic acid+Sodium molybdate dihydrate
QA16AX84	propüleenglükool+vasksulfaat+koobaltsulfaat+mangaansulfaat+koliinkloriid	Propylene glycol+Copper sulphate+Cobalt sulphate+Manganese sulphate+Choline chloride
QA16AX85	naatriumkakodülaat+trüptofaan+tsüanokobalamiin+metioniin+histidiin+koobaltatsetaat+ammooniumraud(II)tsitraat	Sodium cacodylate+Tryptophan+Cyanocobalamin+Methionine+Histidine+Cobalt acetate+Ammonium ferrous citrate
QA16AX86	propüleenglükool+naatriumatsetaattrihüdraat+kaaliumsorbaat+ksantaankummi	Propylene glycol+Sodium acetate trihydrate+Potassium sorbate+Xanthan gum
QA16AX87	klorofüll	Chlorophyll
QA16AX88	Bacillus cereus IP	Bacillus cereus IP
QA16AX89	kalamaksa õli+kurgirohuõli	Cod-liver oil+Oleum Boraginis
QA16AX90	soja õli+kalamaksa õli+kurgirohuõli	Soya-bean oil+Cod-liver oil+Oleum Boraginis
QA16AX91	propionibacterium acnes inaktiveeritud rakud+E. coli lipopolysaccharide	Propionibacterium acnes inactivated cells+E. coli lipopolysaccharide
QA16Q	TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED VETERINAARSEKS KASUTAMISEKS	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS FOR VETERINARY USE
QA16QA	Atsetoneemia ennetamiseks ja raviks kasutatavad ained	Drugs for prevention and/or treatment of acetonemia
QA16QA01	propüleenglükool	Propylene glycol
QA16QA06	monensiin	Monensin
QA16QA80	propüleenglükool+kaaliumjodiid+koobaltsulfaat	Propylene glycol+Potassium iodide+Cobalt sulphate
QB	VERI JA VERELOOMEORGANID	BLOOD AND BLOOD FORMING ORGANS
QB01	TROMBOOSIVASTASED AINED	ANTITHROMBOTIC AGENTS
QB01A	TROMBOOSIVASTASED AINED	ANTITHROMBOTIC AGENTS
QB01AA	Vitamiin K antagonistid	Vitamin K antagonists
QB01AB	Hepariini rühm	Heparin group
QB01AC	Trombotsüütide agregatsiooni inhibiitorid, v.a hepariin	Platelet aggregation inhibitors, excl. heparin
QB01AD	Ensüümid	Enzymes
QB01AE	Otsesed trombiini inhibiitorid	Direct thrombin inhibitors
QB01AF	Otsesed Xa faktori inhibiitorid	Direct factor Xa inhibitors
QB01AX	Teised tromboosivastased ained	Other antithrombotic agents
QB02	VEREJOOKSU TÕKESTAVAD AINED	ANTIHEMORRHAGICS
QB02B	VITAMIIN K JA TEISED HEMOSTAATILISED AINED	VITAMIN K AND OTHER HEMOSTATICS
QB02BA	Vitamiin K	Vitamin K
QB02BA01	fütomenadioon	Phytomenadione
QB02BA02	menadioonnaatriumbisulfit	Menadione sodium bisulfite
QB02BB	Fibrinogeen	Fibrinogen
QB02BC	Lokaalsed hemostaatilised ained	Local hemostatics
QB02BC81	raud(II)sulfaat+kloroksülenool+ammoonium alumiinium+tanniinhape	Ferrous sulphate+Chloroxylenol+Ammonium aluminium+Tannic acid
QB02BD	Vere hüübimisfaktorid	Blood coagulation factors
QB02BX	Teised süsteemsed hemostaatilised ained	Other systemic hemostatics
QB02BX81	naatriumnaftionaat+propüülparahüdroksübensoaat+metüülparahüdroksübensoaat	Naphthionic acid sodium salt+Propyl parahydroxybenzoate+Methyl parahydroxybenzoate
QB03	ANEEMIAVASTASED PREPARAADID	ANTIANEMIC PREPARATIONS
QB03A	RAUAPREPARAADID	IRON PREPARATIONS
QB03AA	Raud(II), suukaudsed preparaadid	Iron bivalent, oral preparations
QB03AB	Raud(III), suukaudsed preparaadid	Iron trivalent, oral preparations
QB03AB09	raudproteinaat	Iron proteinate
QB03AC	Raud(III), parenteraalsed preparaadid	Iron trivalent, parenteral preparations
QB03AC90	rauddekstraan	Iron dextran
QB03AD	Raua kombinatsioonid foolhappega	Iron in combination with folic acid
QB03AE	Teised raua kombinatsioonid	Iron in other combinations
QB03AE81	rauddekstraan+retinool+tokoferool+kolekaltsiferool+pantenool	Iron dextran+Retinol+Tocopherol+Colecalciferol+Panthenol
QB03AE83	rauddekstraan+tsüanokobalamiin+koobaltkloriid	Iron dextran+Cyanocobalamin+Cobalt chloride
QB03AE84	rauddekstraan+retinool+tokoferool+kolekaltsiferool	Iron dextran+Retinol+Tocopherol+Colecalciferol
QB03AE85	rauddekstraan+tsüanokobalamiin	Iron dextran+Cyanocobalamin
QB03AE86	rauddekstraan+retinool	Iron dextran+Retinol
QB03AE90	rauddekstraan+fenool	Iron dextran+Phenol
QB03AE91	rauddekstraan+retinool+tokoferool+fenool+kolekaltsiferool	Iron dextran+Retinol+Tocopherol+Phenol+Colecalciferol
QB03AE92	rauddekstraan+retinool+alfatokoferool	Iron dextran+Retinol+Alpha - tocopherol
QB03AE93	rauddekstraan+riboflaviin+nikotiinhape+fenool+püridoksiin+vaskdikloriid+koobaltdikloriid+kaalium pantotenaat+mertiolaat+sea vereseerum+tiamiin	Iron dextran+Riboflavin+Nicotinic acid+Phenol+Pyridoxine+Copper dichlorid+Cobalt dichloride+Potassium pantotenate+Merthiolate+sea vereseerum+Thiamine
QB03B	VITAMIIN B12 JA FOOLHAPE	VITAMIN B12 AND FOLIC ACID
QB03BA	Vitamiin B12 (tsüanokobalamiin ja selle analoogid)	Vitamin B12 (cyanocobalamin and analogues)
QB03BA01	tsüanokobalamiin	Cyanocobalamin
QB03BB	Foolhape ja selle derivaadid	Folic acid and derivatives
QB03X	TEISED ANEEMIAVASTASED PREPARAADID	OTHER ANTIANEMIC PREPARATIONS
QB03XA	Teised aneemiavastased preparaadid	Other antianemic preparations
QB05	VEREASENDAJAD JA PERFUSIOONILAHUSED	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
QB05A	VERI JA VEREPREPARAADID	BLOOD AND RELATED PRODUCTS
QB05AA	Vereasendajad ja plasmavalgu fraktsioonid	Blood substitutes and plasma protein fractions
QB05AA10	glutameer hemoglobiin	Hemoglobin glutamer
QB05B	INTRAVENOOSSED LAHUSED	I.V. SOLUTIONS
QB05BA	Parenteraalsed toitelahused	Solutions for parenteral nutrition
QB05BA80	levokarnitiin+glutamiinhape+fruktoos+ornitiin+sorbitool+tiokthape (alfa-lipoehape)+glütsiin+lüsiin+tsüanokobalamiin+aspartaamhape+püridoksiin+d,l-Atsetüülmetioniin+L-tsitrulliin+tauriin+arginiin	Levocarnitine+Glutamic acid+Fructose+Ornithine+Sorbitol+Thioctic acid+Glycine+Lysine+Cyanocobalamin+Aspartic acid+Pyridoxine+d,l-Acetylmethionine+L-Citrulline+Taurine+Arginine
QB05BA81	glükoos+kaltsiumkloriid+kaaliumkloriid+magneesiumsulfaat+naatriumatsetaat+tiamiin+nikotiinamiid+püridoksiin+tsüanokobalamiin+riboflaviin+dekspantenool+alaniin+arginiin+aspartaamhape+glutamiinhape+glütsiin+histidiin+isoleutsiin+leutsiin+metioniin+fenüülalaniin+proliin+seriin+treoniin+trüptofaan+türosiin+valiin	Glucose+Calcium chloride+Potassium chloride+Magnesium sulphate+Sodium acetate+Thiamine+Nicotinamide+Pyridoxine+Cyanocobalamin+Riboflavin+Dexpanthenol+Alanine+Arginine+Aspartic acid+Glutamic acid+Glycine+Histidine+Isoleucine+Leucine+Methionine+Phenylalanine+Proline+Serine+Threonine+Tryptophan+Tyrosine+Valine
QB05BA82	arginiin+histidiin+isoleutsiin+leutsiin+lüsiin+metioniin+fenüülalaniin+treoniin+valiin+karnitiin+naatriumatsetaattrihüdraat+magneesiumatsetaat+nikotiinamiid+tsüanokobalamiin+sorbitool+naatrium+kaalium+magneesium+tiamiin	Arginine+Histidine+Isoleucine+Leucine+Lysine+Methionine+Phenylalanine+Threonine+Valine+karnitiin+Sodium acetate trihydrate+magneesiumatsetaat+Nicotinamide+Cyanocobalamin+Sorbitol+Sodium+Potassium+Magnesium+Thiamine
QB05BB	Elektrolüütide tasakaalu mõjutavad lahused	Solutions affecting the electrolyte balance
QB05BC	Osmootset diureesi põhjustavad lahused	Solutions producing osmotic diuresis
QB05C	LOPUTUSLAHUSED	IRRIGATING SOLUTIONS
QB05CA	Infektsioonivastased ained	Antiinfectives
QB05CB	Soolalahused	Salt solutions
QB05CB01	naatriumkloriid	Sodium chloride
QB05CX	Teised loputuslahused	Other irrigating solutions
QB05CX01	glükoos	Glucose
QB05X	INTRAVENOOSSETE LAHUSTE LISANDID	I.V. SOLUTION ADDITIVES
QB05XA	Elektrolüütide lahused	Electrolyte solutions
QB05XA05	magneesiumsulfaat	Magnesium sulphate
QB05XA07	kaltsiumkloriid	Calcium chloride
QB05XA80	kaltsiumboroglükonaat+magneesiumhüpofosfit	Calcium borogluconate+Magnesium hypophosphite
QB05XA81	kaltsiumkloriid+magneesiumkloriid	Calcium chloride+Magnesium chloride
QB05XB	Aminohapped	Amino acids
QB05XC	Vitamiinid	Vitamins
QB05XX	Teised intravenoossete lahuste lisandid	Other i.v. solution additives
QB06	TEISED HEMATOLOOGILISED AINED	OTHER HEMATOLOGICAL AGENTS
QB06A	TEISED HEMATOLOOGILISED AINED	OTHER HEMATOLOGICAL AGENTS
QB06AA	Ensüümid	Enzymes
QB06AB	Teised hematoloogilised preparaadid	Other hem products
QB06AC	Päriliku angioödeemi raviks kasutatavad ained	Drugs used in hereditary angioedema
QC	KARDIOVASKULAARSÜSTEEM	CARDIOVASCULAR SYSTEM
QC01	SÜDAMEHAIGUSTE RAVI	CARDIAC THERAPY
QC01A	SÜDAMEGLÜKOSIIDID	CARDIAC GLYCOSIDES
QC01AA	Sõrmkübaraglükosiidid	Digitalis glycosides
QC01AB	Sillaglükosiidid	Scilla glycosides
QC01AC	Strofandiglükosiidid	Strophantus glycosides
QC01AX	Teised südameglükosiidid	Other cardiac glycosides
QC01B	ANTIARÜTMIKUMID, I JA III KLASS	ANTIARRHYTHMICS, CLASS I AND III
QC01BA	IA klassi antiarütmikumid	Antiarrhythmics, class Ia
QC01BB	IB klassi antiarütmikumid	Antiarrhythmics, class Ib
QC01BC	IC klassi antiarütmikumid	Antiarrhythmics, class Ic
QC01BD	III klassi antiarütmikumid	Antiarrhythmics, class III
QC01BG	Teised I  ja III klassi antiarütmikumid	Other antiarrhythmics, class I and III
QC01C	SÜDAMETEGEVUST STIMULEERIVAD AINED, V.A SÜDAMEGLÜKOSIIDID	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
QC01CA	Adrenergilised ja dopaminergilised ained	Adrenergic and dopaminergic agents
QC01CE	Fosfodiesteraasi inhibiitorid	Phosphodiesterase inhibitors
QC01CE90	pimobendaan	Pimobendane
QC01CX	Teised südametegevust stimuleerivad ained	Other cardiac stimulants
QC01D	SÜDAMEHAIGUSTE KORRAL KASUTATAVAD VASODILATAATORID	VASODILATORS USED IN CARDIAC DISEASES
QC01DA	Orgaanilised nitraadid	Organic nitrates
QC01DB	Vasodilatoorsed kinoloonid	Quinolone vasodilators
QC01DX	Teised südamehaiguste korral kasutatavad vasodilataatorid	Other vasodilatators used in cardiac diseases
QC01E	TEISED SÜDAMESSE TOIMIVAD PREPARAADID	OTHER CARDIAC PREPARATIONS
QC01EA	Prostaglandiinid	Prostaglandins
QC01EB	Teised südamesse toimivad preparaadid	Other cardiac preparations
QC01EX	Teiste südamesse toimivate ainete kombinatsioonid	Other cardiac combination products
QC02	HÜPERTENSIOONIVASTASED AINED	ANTIHYPERTENSIVES
QC02A	TSENTRAALSE TOIMEGA ANTIADRENERGILISED AINED	ANTIADRENERGIC AGENTS, CENTRALLY ACTING
QC02AA	Rauvolfia alkaloidid	Rauwolfia alkaloids
QC02AB	Metüüldopa	Methyldopa
QC02AC	Imidasoliiniretseptori agonistid	Imidazoline receptor agonists
QC02B	ANTIADRENERGILISED AINED - GANGLIOBLOKAATORID	ANTIADRENERGIC AGENTS, GANGLION-BLOCKING
QC02BA	Sulfooniumi derivaadid	Sulfonium derivatives
QC02BB	Sekundaarsed ja tertsiaarsed amiinid	Secondary and tertiary amines
QC02BC	Biskvaternaarsed ammooniumiühendid	Bisquaternary ammonium compounds
QC02C	PERIFEERSE TOIMEGA ANTIADRENERGILISED AINED	ANTIADRENERGIC AGENTS, PERPHERALLY ACTING
QC02CA	Alfaadrenoretseptorite antagonistid	Alpha-adrenoreceptor antagonists
QC02CC	Guanidiini derivaadid	Guanidine derivatives
QC02D	ARTERIOOLIDE SILELIHASTESSE TOIMIVAD AINED	ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON
QC02DA	Tiasiidi derivaadid	Thiazide derivatives
QC02DB	Hüdrasinoftalasiini derivaadid	Hydrazinophthalazine derivatives
QC02DC	Pürimidiini derivaadid	Pyrimidine derivatives
QC02DD	Nitroferritsüaniidi derivaadid	Nitroferricyanide derivatives
QC02DG	Guanidiini derivaadid	Guanidine derivatives
QC02K	TEISED HÜPERTENSIOONIVASTASED AINED	OTHER ANTIHYPERTENSIVES
QC02KA	Alkaloidid, v.a rauvolfia alkaloidid	Alkaloids, excl. rauwolfia
QC02KB	Türosiini hüdroksülaasi inhibiitorid	Tyrosine hydroxylase inhibitors
QC02KC	Monoamiini oksüdaasi (MAO) inhibiitorid	MAO inhibitors
QC02KD	Serotoniini antagonistid	Serotonin antagonists
QC02KX	Teised hüpertensioonivastased ained	Other hypertensives
QC03	DIUREETIKUMID	DIURETICS
QC03A	DISTAALSE TORUKESE DIUREETIKUMID TIASIIDID	LOW-CEILING DIURETICS, THIAZIDES
QC03AA	Tiasiidid	Thiazides, plain
QC03AB	Tiasiidide ja kaaliumi kombinatsioonid	Thiazides and potassium in combination
QC03AH	Tiasiidide kombinatsioonid psühholeptikumide ja/või analgeetikumidega	Thiazides, combinations with psycholeptics and/or analgesics
QC03AX	Tiasiidide kombinatsioonid teiste ainetega	Thiazides, combinations with other drugs
QC03B	DISTAALSE TORUKESE DIUREETIKUMID, V.A TIASIIDID	LOW-CEILING DIURETICS, EXCL. THIAZIDES
QC03BA	Sulfoonamiidid	Sulfonamides, plain
QC03BB	Sulfoonamiidide ja kaaliumi kombinatsioonid	Sulfonamides and potassium in combinations
QC03BC	Elavhõbedat sisaldavad diureetikumid	Mercurial diuretics
QC03BD	Ksantiini derivaadid	Xanthine derivatives
QC03BK	Sulfoonamiidide kombinatsioonid teiste ainetega	Sulfonamides, combinations with other drugs
QC03BX	Teised distaalse torukese diureetikumid	Other low-ceiling diuretics
QC03C	HENLE LINGU DIUREETIKUMID	HIGH-CEILING DIURETICS
QC03CA	Sulfoonamiidid	Sulfonamides, plain
QC03CA01	furosemiid	Furosemide
QC03CB	Sulfoonamiidide ja kaaliumi kombinatsioonid	Sulfonamides and potassium in combinations
QC03CC	Arüüloksüäädikhappe derivaadid	Aryloxyacetic acid derivatives
QC03CD	Pürasolooni derivaadid	Pyrazolone derivatives
QC03CX	Teised Henle lingu diureetikumid	Other high-ceiling diuretics
QC03D	KAALIUMI SÄÄSTVAD DIUREETIKUMID	POTASSIUM-SPARING AGENTS
QC03DA	Aldosterooni antagonistid	Aldosterone antagonists
QC03DA01	spironolaktoon	Spironolactone
QC03DB	Teised kaaliumi säästvad diureetikumid	Other potassium-sparing agents
QC03E	KAALIUMI SÄÄSTVATE DIUREETIKUMIDE JA TEISTE DIUREETIKUMIDE KOMBINATSIOONID	DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
QC03EA	Distaalse torukese diureetikumid ja kaaliumi säästvad diureetikumid	Low-ceiling diuretics and potassium-sparing agents
QC03EB	Henle lingu diureetikumid ja kaaliumi säästvad diureetikumid	High-ceiling diuretics and potassium-sparing agents
QC04	PERIFEERSED VASODILATAATORID	PERIPHERAL VASODILATORS
QC04A	PERIFEERSED VASODILATAATORID	PERIPHERAL VASODILATORS
QC04AA	2-amino-1-fenüületanooli derivaadid	2-amino-1-phenylethalon derivatives
QC04AB	Imidasoliini derivaadid	Imidazoline derivatives
QC04AC	Nikotiinhape ja selle derivaadid	Nicotinic acid and derivatives
QC04AD	Puriini derivaadid	Purine derivatives
QC04AD90	propentofülliin	Propentofylline
QC04AE	Tungaltera alkaloidid	Ergot alkaloids
QC04AF	Ensüümid	Enzymes
QC04AX	Teised perifeersed vasodilataatorid	Other peripheral vasodilators
QC07	BEETABLOKAATORID	BETA BLOCKING AGENTS
QC07A	BEETABLOKAATORID	BETA BLOCKING AGENTS
QC07AA	Mitteselektiivsed beetablokaatorid	Beta blocking agents, non-selective
QC07AA05	propranolool	Propranolol
QC07AB	Selektiivsed beetablokaatorid	Beta blocking agents, selective
QC07AG	Alfa- ja beetablokaatorid	Alpha and beta bkocking agents
QC08	KALTSIUMIKANALI BLOKAATORID	CALCIUM CHANNEL BLOCKERS
QC08C	PEAMISELT VASKULAARSE TOIMEGA SELEKTIIVSED KALTSIUMIKANALI BLOKAATORID	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
QC08CA	Dihüdropüridiini derivaadid	Dihydropyridine derivatives
QC08CX	Teised peamiselt vaskulaarse toimega selektiivsed kaltsiumikanali blokaatorid	Other selective calcium channel blockers with mainly vascular effects
QC08D	OTSESE KARDIOLOOGILISE TOIMEGA SELEKTIIVSED KALTSIUMIKANALI BLOKAATORID	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECT
QC08DA	Fenüülalküülamiini derivaadid	Phenylalkylamine derivatives
QC08DB	Bensotiasepiini derivaadid	Benzothiazepine derivatives
QC08E	MITTESELEKTIIVSED KALTSIUMIKANALI BLOKAATORID	NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
QC08EA	Fenüülalküülamiini derivaadid	Phenylalkylamine derivatives
QC08EX	Teised mitteselektiivsed kaltsiumikanali blokaatorid	Other non-selective calcium channel blockers
QC08G	KALTSIUMIKANALI BLOKAATORID JA DIUREETIKUMID	CALCIUM CHANNEL BLOCKERS AND DIURETICS
QC08GA	Kaltsiumikanali blokaatorid ja diureetikumid	Calcium channel blockers and diuretics
QC09	RENIIN-ANGIOTENSIINSÜSTEEMI TOIMIVAD AINED	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
QC09A	ANGIOTENSIINI KONVERTEERIVA ENSÜÜMI INHIBIITORID	ACE INHIBITORS, PLAIN
QC09AA	Angiotensiini konverteeriva ensüümi inhibiitorid	ACE inhibitors, plain
QC09AA05	ramipriil	Ramipril
QC09AA07	benasepriil	Benazepril
QC09B	ANGIOTENSIINI KONVERTEERIVA ENSÜÜMI INHIBIITORITE KOMBINATSIOONID	ACE INHIBITORS, COMBINATIONS
QC09BA	Angiotensiini konverteeriva ensüümi inhibiitorid ja diureetikumid	ACE inhibitors and diuretics
QC09BA80	benasepriil+spironolaktoon	Benazepril+Spironolactone
QC09BB	Angiotensiini konverteeriva ensüümi inhibiitorid ja kaltsiumikanali blokaatorid	ACE inhibitors and calcium channel blockers
QC09C	ANGIOTENSIIN II ANTAGONISTID	ANGIOTENSIN II ANTAGONISTS, PLAIN
QC09CA	Angiotensiin II antagonistid	Angiotensin II antagonists, plain
QC09CA07	telmisartaan	Telmisartan
QC09D	ANGIOTENSIIN II ANTAGONISTIDE KOMBINATSIOONID	ANGIOTENSIN II ANTAGONISTS, COMBINATIONS
QC09DA	Angiotensiin II antagonistid ja diureetikumid	Angiotensin II antagonists and diuretics
QC09X	TEISED RENIIN-ANGIOTENSIINSÜSTEEMI TOIMIVAD AINED	OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
QC09XA	Reniini inhibiitorid	Renin-inhibitors
QD	DERMATOLOOGIAS KASUTATAVAD AINED	DERMATOLOGICALS
QD01	SEENEVASTASED AINED DERMATOLOOGILISEKS KASUTAMISEKS	ANTIFUNGALS FOR DERMATOLOGICAL USE
QD01A	SEENEVASTASED AINED PAIKSEKS KASUTAMISEKS	ANTIFUNGALS FOR TOPICAL USE
QD01AA	Antibiootikumid	Antibiotics
QD01AA02	natamütsiin	Natamycin
QD01AC	Imidasooli ja triasooli derivaadid	Imidazole and triazole derivatives
QD01AC01	klotrimasool	Clotrimazole
QD01AC90	enilkonasool	Enilconazole
QD01AE	Teised seenevastased ained paikseks kasutamiseks	Other antifungals for topical use
QD01B	SEENEVASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIFUNGALS FOR SYSTEMIC USE
QD01BA	Seenevastased ained süsteemseks kasutamiseks	Antifungals for systemic use
QD01BA01	griseofulviin	Griseofulvin
QD02	PEHMENDAVAD JA KAITSVAD AINED	EMOLLIENTS AND PROTECTIVES
QD02A	PEHMENDAVAD JA KAITSVAD AINED	EMOLLIENTS AND PROTECTIVES
QD02AA	Silikoonipreparaadid	Silicone products
QD02AB	Tsingiühendid	Zinc products
QD02AB81	tsinkoksiid+mentool+rosmariiniõli+lavendliõli+arnika ekstrakt	Zinc oxide+Menthol+Rosemary oil+Lavender oil+Arnica extractum
QD02AC	Vaseliini ja rasva preparaadid	Soft paraffin and fat products
QD02AD	Vedelad plaastrid	Liquid plasters
QD02AE	Karbamiidipreparaadid	Carbamide products
QD02AX	Teised pehmendavad ja kaitsvad ained	Other emollients and protectives
QD02AX80	ihtammool+kamper	Ichtammol+Camphor
QD02AX81	isopropüülpalmitaat+lanoliin+glütserooldistearaat+polüetüleenstearaat+dimetikoon	Isopropyl palmitate+Lanolin+Glycerol distearate+Polyethylene stearate+Dimeticone
QD02AX82	naatriumsulfaat, veevaba+kaaliumkloriid+naatriumkloriid+tümool+magneesiumsulfaat+naatriumvesinikkarbonaat+alumiiniumsulfaat+kummeliekstrakt+kaaliumjodiid+naatriumboraat	Sodium sulphate, anhydrous+Potassium chloride+Sodium chloride+Thymol+Magnesium sulphate+Sodium hydrogen carbonate+Aluminium sulphate+Chamomille extract+Potassium iodide+Sodium borate
