A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
C03AX	Tiasiidide kombinatsioonid teiste ainetega	Thiazides, combinations with other drugs
C03B	DISTAALSE TORUKESE DIUREETIKUMID, V.A TIASIIDID	LOW-CEILING DIURETICS, EXCL. THIAZIDES
C03BA	Sulfoonamiidid	Sulfonamides, plain
C03BA02	kvinetasoon	Quinethazone
C03BA03	klopamiid	Clopamide
C03BA04	kloortalidoon	Chlortalidone
C03BA05	mefrusiid	Mefruside
C03BA07	klofenamiid	Clofenamide
C03BA08	metolasoon	Metolazone
C03BA09	metikraan	Meticrane
C03BA10	ksipamiid	Xipamide
C03BA11	indapamiid	Indapamide
C03BA12	kloreksoloon	Clorexolone
C03BA13	fenkvisoon	Fenquizone
C03BB	Sulfoonamiidide ja kaaliumi kombinatsioonid	Sulfonamides and potassium in combination
C03BC	Elavhõbedat sisaldavad diureetikumid	Mercurial diuretics
C03BC01	mersalüül	Mersalyl
C03BD	Ksantiini derivaadid	Xanthine derivatives
C03BD01	teobromiin	Theobromine
C03BK	Sulfoonamiidide kombinatsioonid teiste ainetega	Sulfonamides, combinations with other drugs
C03BX	Teised distaalse torukese diureetikumid	Other low-ceiling diuretics
C03BX03	tsikletaniin	Cicletanine
C03C	HENLE LINGU DIUREETIKUMID	HIGH-CEILING DIURETICS
C03CA	Sulfoonamiidid	Sulfonamides, plain
C03CA01	furosemiid	Furosemide
C03CA02	bumetaniid	Bumetanide
C03CA03	piretaniid	Piretanide
C03CA04	torasemiid	Torasemide
C03CB	Sulfoonamiidide ja kaaliumi kombinatsioonid	Sulfonamides and potassium in combination
C03CC	Arüüloksüäädikhappe derivaadid	Aryloxyacetic acid derivatives
C03CC01	etakrüünhape	Etacrynic acid
C03CC02	tieniilhape	Tienilic acid
C03CD	Pürasolooni derivaadid	Pyrazolone derivatives
C03CD01	musolimiin	Muzolimine
C03CX	Teised Henle lingu diureetikumid	Other high-ceiling diuretics
C03CX01	etosoliin	Etozolin
C03D	KAALIUMI SÄÄSTVAD DIUREETIKUMID	POTASSIUM-SPARING AGENTS
C03DA	Aldosterooni antagonistid	Aldosterone antagonists
C03DA01	spironolaktoon	Spironolactone
C03DA02	kaaliumkanrenoaat	Potassium canrenoate
C03DA03	kanrenoon	Canrenone
C03DA04	eplerenoon	Eplerenone
C03DB	Teised kaaliumi säästvad diureetikumid	Other potassium-sparing agents
C03DB01	amiloriid	Amiloride
C03DB02	triamtereen	Triamterene
C03E	KAALIUMI SÄÄSTVATE DIUREETIKUMIDE JA TEISTE DIUREETIKUMIDE KOMBINATSIOONID	DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C03EA	Distaalse torukese diureetikumid ja kaaliumi säästvad diureetikumid	Low-ceiling diuretics and potassium-sparing agents
C03EA80	hüdroklorotiasiid+triamtereen	Hydrochlorothiazide+Triamterene
C03EA81	hüdroklorotiasiid+amiloriid	Hydrochlorothiazide+Amiloride
C03EB	Henle lingu diureetikumid ja kaaliumi säästvad diureetikumid	High-ceiling diuretics and potassium-sparing agents
C03EB80	furosemiid+triamtereen	Furosemide+Triamterene
C03EB81	furosemiid+spironolaktoon	Furosemide+Spironolactone
C03X	TEISED DIUREETIKUMID	OTHER DIURETICS
C03XA	Vasopressiini antagonistid	Vasopressin antagonists
C03XA01	tolvaptaan	Tolvaptan
C04	PERIFEERSED VASODILATAATORID	PERIPHERAL VASODILATORS
C04A	PERIFEERSED VASODILATAATORID	PERIPHERAL VASODILATORS
C04AA	2-amino-1-fenüületanooli derivaadid	2-amino-1-phenylethanol derivatives
C04AA01	isoksupriin	Isoxsuprine
C04AA02	bufeniin	Buphenine
C04AA31	bametaan	Bamethan
C04AB	Imidasoliini derivaadid	Imidazoline derivatives
C04AB01	fentolamiin	Phentolamine
C04AB02	tolasoliin	Tolazoline
C04AB80	bendasool	Bendazole
C04AC	Nikotiinhape ja selle derivaadid	Nicotinic acid and derivatives
C04AC01	nikotiinhape	Nicotinic acid
C04AC02	nikotinüülalkohol (püridüülkarbinool)	Nicotinyl alcohol (pyridylcarbinol)
C04AC03	inositoolnikotinaat	Inositol nicotinate
C04AC07	tsiklonikaat	Ciclonicate
C04AD	Puriini derivaadid	Purine derivatives
C04AD00	PUUDU_EESTI	PUUDU_INGLISE
C04AD01	pentifülliin	Pentifylline
C04AD02	ksantinoolnikotinaat	Xantinol nicotinate
C04AD03	pentoksüfülliin	Pentoxifylline
C04AD04	etofülliin	Etofylline
C04AD80	etofülliin+heksobendiin+etamivaan	Etofylline+Hexobendine+Etamivan
C04AE	Tungaltera alkaloidid	Ergot alkaloids
C04AE01	ergoloidmesülaat	Ergoloid mesylates
C04AE02	nitsergoliin	Nicergoline
C04AE04	dihüdroergokristiin	Dihydroergocristine
C04AF	Ensüümid	Enzymes
C04AF01	kallidinogenaas	Kallidinogenase
C04AX	Teised perifeersed vasodilataatorid	Other peripheral vasodilators
C04AX01	tsüklandelaat	Cyclandelate
C04AX02	fenoksübensamiin	Phenoxybenzamine
C04AX07	vinkamiin	Vincamine
C04AX10	moksisülüüt	Moxisylyte
C04AX11	bentsüklaan	Bencyclane
C04AX17	vinburniin	Vinburnine
C04AX20	buflomediil	Buflomedil
C04AX21	naftidrofurüül	Naftidrofuryl
C04AX23	butalamiin	Butalamine
C04AX24	visnadiin	Visnadine
C04AX26	tsetiediil	Cetiedil
C04AX27	tsinepasiid	Cinepazide
C04AX28	ifenprodiil	Ifenprodil
C04AX83	bensoheksoon	Benzohexonium
C05	VASOPROTEKTORID	VASOPROTECTIVES
C05A	HEMORROIDIDE JA PÄRAKULÕHEDE PAIKSEKS RAVIKS KASUTATAVAD AINED	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA	Kortikosteroidid	Corticosteroids
C05AA01	hüdrokortisoon	Hydrocortisone
C05AA04	prednisoloon	Prednisolone
C05AA05	beetametasoon	Betamethasone
C05AA06	fluorometoloon	Fluorometholone
C05AA08	fluokortoloon	Fluocortolone
C05AA09	deksametasoon	Dexamethasone
C05AA10	fluotsinoloonatsetoniid	Fluocinolone acetonide
C05AA11	fluotsinoniid	Fluocinonide
C05AA80	hüdrokortisoon+pramokaiin	Hydrocortisone+Pramocaine
C05AA81	prednisoloon+lidokaiin+triklosaan+dekspantenool	Prednisolone+Lidocaine+Triclosan+Dexpanthenol
C05AA82	hüdrokortisoon+tsinhokaiin	Hydrocortisone+Cinchocaine
C05AA83	hüdrokortisoon+eskuliin+framütsetiin+tsinhokaiin	Hydrocortisone+Esculine+Framycetin+Cinchocaine
C05AA84	fluokortoloon+lidokaiin	Fluocortolone+Lidocaine
C05AA85	hüdrokortisoon+lidokaiin+tsinkoksiid	Hydrocortisone+Lidocaine+Zinc oxide
C05AB	Antibiootikumid	Antibiotics
C05AD	Lokaalanesteetikumid	Local anesthetics
C05AD01	lidokaiin	Lidocaine
C05AD02	tetrakaiin	Tetracaine
C05AD03	bensokaiin	Benzocaine
C05AD04	tsinhokaiin	Cinchocaine
C05AD05	prokaiin	Procaine
C05AD06	oksetakaiin	Oxetacaine
C05AD07	pramokaiin	Pramocaine
C05AE	Müorelaksandid	Muscle relaxants
C05AX	Teised hemorroidide ja pärakulõhede paikseks raviks kasutatavad ained	Other agents for treatment of hemorrhoids and anal fissures for topical use
C05AX01	alumiiniumatsetaat	Aluminium acetate
C05AX05	tribenosiid	Tribenoside
C05AX80	tribenosiid+lidokaiin	Tribenoside+Lidocaine
C05AX81	kseroform+tsinksulfaat+belladonnaekstrakt	Xeroformium+Zinc sulphate+Extract of Belladonna
C05AX82	fenüülefriin+haimaksaõli	Phenylephrine+Shark liver oil
C05AX83	pärmiseente ekstrakt+haimaksaõli	Yeast cell extract+Shark liver oil
C05AX84	bufeksamak+vismutsubgallaat+titaandioksiid+lidokaiin	Bufexamac+Bismuth subgallate+Titanium dioxide+Lidocaine
C05AX85	astelpaju õli	Hippopheae oleum
C05B	VEENILAIENDITE RAVI	ANTIVARICOSE THERAPY
C05BA	Hepariinid või heparinoidid paikseks kasutamiseks	Heparins or heparinoids for topical use
C05BA01	organoheparinoid	Organo-heparinoid
C05BA02	naatriumapolaat	Sodium apolate
C05BA03	naatriumhepariin	Heparin sodium
C05BA04	naatriumpentosaanpolüsulfaat	Pentosan polysulfate sodium
C05BA51	naatriumhepariin	Heparin sodium
C05BA80	naatriumhepariin+estsiin+EPL substants	Heparin sodium+Aescin+EPL substants
C05BA81	naatriumhepariin+bensokaiin+bensüülnikotinaat	Heparin sodium+Benzocaine+Benzyl nicotinate
C05BA82	naatriumhepariin+estsiin	Heparin sodium+Aescin
C05BA83	naatriumhepariin+dekspantenool+dimetüülsulfoksiid	Heparin sodium+Dexpanthenol+Dimethyl sulfoxide
C05BB	Skleroseerivad ained lokaalseks süstimiseks	Sclerosing agents for local injection
C05BB01	monoetanoolamiinoleaat	Monoethanolamine oleate
C05BB02	lauromakrogool 400	Lauromacrogol 400
C05BB04	naatriumtetradetsüülsulfaat	Sodium tetradecyl sulphate
C05BX	Teised skleroseerivad ained	Other sclerosing agents
C05BX01	kaltsiumdobesilaat	Calcium dobesilate
C05BX80	sulfomukopolüsahhariidid	Sulphomucopolysaccharides
C05C	KAPILLAARE STABILISEERIVAD AINED	CAPILLARY STABILIZING AGENTS
C05CA	Bioflavonoidid	Bioflavonoids
C05CA01	rutosiid	Rutoside
C05CA02	monokserutiin	Monoxerutin
C05CA03	diosmiin	Diosmin
C05CA04	trokserutiin	Troxerutin
C05CA53	diosmiin+hesperidiin	Diosmin+Hesperidine
C05CA80	rutosiid+dihüdroergokristiin+eskuliin	Rutoside+Dihydroergocristine+Esculine
C05CA83	hobukastani ekstrakt	Hobukastani ekstrakt
C05CA84	trokserutiin+heptaminool+hõlmikpuu standardiseeritud ekstrakt	Troxerutin+Heptaminol+Ginkgo biloba standardized extract
C05CA85	trokserutiin+hõlmikpuu standardiseeritud ekstrakt	Troxerutin+Ginkgo biloba standardized extract
C05CX	Teised kapillaare stabiliseerivad ained	Other capillary stabilizing agents
C05CX80	viinamarja seemnete ekstrakt	Vigne rouge extract
C05CX81	estsiin	Aescin
C05CX82	adenosiinfosfaat	Adenosine phosphate
C05CX83	estsiin+klosanteel	Aescin+Closantel
C07	BEETABLOKAATORID	BETA BLOCKING AGENTS
C07A	BEETABLOKAATORID	BETA BLOCKING AGENTS
C07AA	Mitteselektiivsed beetablokaatorid	Beta blocking agents, non-selective
C07AA01	alprenolool	Alprenolol
C07AA02	oksprenolool	Oxprenolol
C07AA03	pindolool	Pindolol
C07AA05	propranolool	Propranolol
C07AA06	timolool	Timolol
C07AA07	sotalool	Sotalol
C07AA12	nadolool	Nadolol
C07AA14	mepindolool	Mepindolol
C07AA15	karteolool	Carteolol
C07AA16	tertatolool	Tertatolol
C07AA17	bopindolool	Bopindolol
C07AA19	bupranolool	Bupranolol
C07AA23	penbutolool	Penbutolol
C07AA27	kloranolool	Cloranolol
C07AB	Selektiivsed beetablokaatorid	Beta blocking agents, selective
C07AB01	praktolool	Practolol
C07AB02	metoprolool	Metoprolol
C07AB03	atenolool	Atenolol
C07AB04	atsebutolool	Acebutolol
C07AB05	betaksolool	Betaxolol
C07AB06	bevantolool	Bevantolol
C07AB07	bisoprolool	Bisoprolol
C07AB08	tseliprolool	Celiprolol
C07AB09	esmolool	Esmolol
C07AB10	epanolool	Epanolol
C07AB11	atenolool	Atenolol
C07AB12	nebivolool	Nebivolol
C07AB13	talinolool	Talinolol
C07AB80	bisoprolool+atsetüülsalitsüülhape	Bisoprolol+Acetylsalicylic acid 
C07AG	Alfa- ja beetablokaatorid	Alpha and beta blocking agents
C07AG01	labetalool	Labetalol
C07AG02	karvedilool	Carvedilol
C07B	BEETABLOKAATORID JA TIASIIDID	BETA BLOCKING AGENTS AND THIAZIDES
C07BA	Mitteselektiivsed beetablokaatorid ja tiasiidid	Beta blocking agents, non-selective, and thiazides
C07BA02	oksprenolool	Oxprenolol
C07BA05	propranolool	Propranolol
C07BA06	timolool	Timolol
C07BA07	sotalool	Sotalol
C07BA12	nadolool	Nadolol
C07BB	Selektiivsed beetablokaatorid ja tiasiidid	Beta blocking agents, selective, and thiazides
C07BB02	metoprolool+hüdroklorotiasiid	Metoprolol+Hydrochlorothiazide
C07BB03	atenolool	Atenolol
C07BB04	atsebutolool	Acebutolol
C07BB06	bevantolool	Bevantolol
C07BB07	bisoprolool+hüdroklorotiasiid	Bisoprolol+Hydrochlorothiazide
C07BB52	metoprolool	Metoprolol
C07BB80	nebivolool+hüdroklorotiasiid	Nebivolol+Hydrochlorothiazide
C07BG	Alfa- ja beetablokaatorid ning tiasiidid	Alpha and beta blocking agents and thiazides
C07BG01	labetalool	Labetalol
C07C	BEETABLOKAATORID JA TEISED DIUREETIKUMID	BETA BLOCKING AGENTS AND OTHER DIURETICS
C07CA	Mitteselektiivsed beetablokaatorid ja teised diureetikumid	Beta blocking agents, non-selective, and other diuretics
C07CA02	oksprenolool	Oxprenolol
C07CA03	pindolool+klopamiid	Pindolol+Clopamide
C07CA17	bopindolool	Bopindolol
C07CB	Selektiivsed beetablokaatorid ja teised diureetikumid	Beta blocking agents, selective, and other diuretics
C07CB02	metoprolool	Metoprolol
C07CB03	atenolool+kloortalidoon	Atenolol+Chlortalidone
C07CB53	atenolool	Atenolol
C07CG	Alfa- ja beetablokaatorid ning teised diureetikumid	Alpha and beta blocking agents and other diuretics
C07CG01	labetalool	Labetalol
C07D	BEETABLOKAATORID, TIASIIDID JA TEISED DIUREETIKUMID	BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS
C07DA	Mitteselektiivsed beetablokaatorid, tiasiidid ja teised diureetikumid	Beta blocking agents, non-selective, thiazides and other diuretics
C07DB	Selektiivsed beetablokaatorid, tiasiidid ja teised diureetikumid	Beta blocking agents, selective, thiazides and other diuretics
C07E	BEETABLOKAATORID JA VASODILATAATORID	BETA BLOCKING AGENTS AND VASODILATORS
C07EA	Mitteselektiivsed beetablokaatorid ja vasodilataatorid	Beta blocking agents, non-selective, and vasodilators
C07EB	Selektiivsed beetablokaatorid ja vasodilataatorid	Beta blocking agents, selective, and vasodilators
C07F	BEETABLOKAATORID JA TEISED HÜPERTENSIOONIVASTASED AINED	BETA BLOCKING AGENTS AND OTHER ANTIHYPERTENSIVES
C07FA	Mitteselektiivsed beetablokaatorid ja teised hüpertensioonivastased ained	Beta blocking agents, non-selective, and other antihypertensives
C07FA05	propranolool+hüdroklorotiasiid+triamtereen	Propranolol+Hydrochlorothiazide+Triamterene
C07FB	Selektiivsed beetablokaatorid ja teised hüpertensioonivastased ained	Beta blocking agents, selective, and other antihypertensives
C07FB03	atenolool+nifedipiin	Atenolol+Nifedipine
C07FB80	metoprolool+felodipiin	Metoprolol+Felodipine
C08	KALTSIUMIKANALI BLOKAATORID	CALCIUM CHANNEL BLOCKERS
C08C	PEAMISELT VASKULAARSE TOIMEGA SELEKTIIVSED KALTSIUMIKANALI BLOKAATORID	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA	Dihüdropüridiini derivaadid	Dihydropyridine derivatives
C08CA01	amlodipiin	Amlodipine
C08CA02	felodipiin	Felodipine
C08CA03	isradipiin	Isradipine
C08CA04	nikardipiin	Nicardipine
C08CA05	nifedipiin	Nifedipine
C08CA06	nimodipiin	Nimodipine
C08CA07	nisoldipiin	Nisoldipine
C08CA08	nitrendipiin	Nitrendipine
C08CA09	latsidipiin	Lacidipine
C08CA10	nilvadipiin	Nilvadipine
C08CA11	manidipiin	Manidipine
C08CA12	barnidipiin	Barnidipine
C08CA13	lerkanidipiin	Lercanidipine
C08CX	Teised peamiselt vaskulaarse toimega selektiivsed kaltsiumikanali blokaatorid	Other selective calcium channel blockers with mainly vascular effects
C08CX01	mibefradiil	Mibefradil
C08D	OTSESE KARDIOLOOGILISE TOIMEGA SELEKTIIVSED KALTSIUMIKANALI BLOKAATORID	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C08DA	Fenüülalküülamiini derivaadid	Phenylalkylamine derivatives
C08DA01	verapamiil	Verapamil
C08DA02	gallopamiil	Gallopamil
C08DB	Bensotiasepiini derivaadid	Benzothiazepine derivatives
C08DB01	diltiaseem	Diltiazem
C08E	MITTESELEKTIIVSED KALTSIUMIKANALI BLOKAATORID	NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08EA	Fenüülalküülamiini derivaadid	Phenylalkylamine derivatives
C08EA01	fendiliin	Fendiline
C08EA02	bepridiil	Bepridil
C08EX	Teised mitteselektiivsed kaltsiumikanali blokaatorid	Other non-selective calcium channel blockers
C08EX01	lidoflasiin	Lidoflazine
C08EX02	perheksiliin	Perhexiline
C08G	KALTSIUMIKANALI BLOKAATORID JA DIUREETIKUMID	CALCIUM CHANNEL BLOCKERS AND DIURETICS
C08GA	Kaltsiumikanali blokaatorid ja diureetikumid	Calcium channel blockers and diuretics
C08GA80	amlodipiin+indapamiid	Amlodipine+Indapamide
C09	RENIIN-ANGIOTENSIINSÜSTEEMI TOIMIVAD AINED	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09A	ANGIOTENSIINI KONVERTEERIVA ENSÜÜMI INHIBIITORID	ACE INHIBITORS, PLAIN
C09AA	Angiotensiini konverteeriva ensüümi inhibiitorid	ACE inhibitors, plain
C09AA01	kaptopriil	Captopril
C09AA02	enalapriil	Enalapril
C09AA03	lisinopriil	Lisinopril
C09AA04	perindopriil	Perindopril
C09AA05	ramipriil	Ramipril
C09AA06	kvinapriil	Quinapril
C09AA07	benasepriil	Benazepril
C09AA08	tsilasapriil	Cilazapril
C09AA09	fosinopriil	Fosinopril
C09AA10	trandolapriil	Trandolapril
C09AA11	spirapriil	Spirapril
C09AA12	delapriil	Delapril
C09AA13	moeksipriil	Moexipril
C09AA15	zofenopriil	Zofenopril
C09AA16	imidapriil	Imidapril
C09B	ANGIOTENSIINI KONVERTEERIVA ENSÜÜMI INHIBIITORITE KOMBINATSIOONID	ACE INHIBITORS, COMBINATIONS
C09BA	Angiotensiini konverteeriva ensüümi inhibiitorid ja diureetikumid	ACE inhibitors and diuretics
C09BA01	kaptopriil+hüdroklorotiasiid	Captopril+Hydrochlorothiazide
C09BA02	enalapriil+hüdroklorotiasiid	Enalapril+Hydrochlorothiazide
C09BA03	lisinopriil+hüdroklorotiasiid	Lisinopril+Hydrochlorothiazide
C09BA04	perindopriil+indapamiid	Perindopril+Indapamide
C09BA05	ramipriil+hüdroklorotiasiid	Ramipril+Hydrochlorothiazide
C09BA06	kvinapriil+hüdroklorotiasiid	Quinapril+Hydrochlorothiazide
C09BA08	tsilasapriil+hüdroklorotiasiid	Cilazapril+Hydrochlorothiazide
C09BA09	fosinopriil+hüdroklorotiasiid	Fosinopril+Hydrochlorothiazide
C09BA15	zofenopriil+hüdroklorotiasiid	Zofenopril+Hydrochlorothiazide
C09BB	Angiotensiini konverteeriva ensüümi inhibiitorid ja kaltsiumikanali blokaatorid	ACE inhibitors and calcium channel blockers
C09BB02	enalapriil+lerkanidipiin	Enalapril+Lercanidipine
C09BB03	lisinopriil+amlodipiin	Lisinopril+Amlodipine
C09BB04	perindopriil+amlodipiin	Perindopril+Amlodipine
C09BB07	ramipriil+amlodipiin	Ramipril+Amlodipine
C09BB10	trandolapriil+verapamiil	Trandolapril+Verapamil
C09BX	Angiotensiini konverteeriva ensüümi inhibiitorite teised kombinatsioonid	ACE inhibitors, other combinations
C09BX80	perindopriil+indapamiid+amlodipiin	Perindopril+Indapamide+Amlodipine
C09C	ANGIOTENSIIN II ANTAGONISTID	ANGIOTENSIN II ANTAGONISTS, PLAIN
C09CA	Angiotensiin II antagonistid	Angiotensin II antagonists, plain
C09CA01	losartaan	Losartan
C09CA02	eprosartaan	Eprosartan
C09CA03	valsartaan	Valsartan
C09CA04	irbesartaan	Irbesartan
C09CA05	tasosartaan	Tasosartan
C09CA06	kandesartaan	Candesartan
C09CA07	telmisartaan	Telmisartan
C09CA08	olmesartaanmedoksomiil	Olmesartan medoxomil
C09CA09	asilsartaanmedoksomiil	Azilsartan medoxomil
C09D	ANGIOTENSIIN II ANTAGONISTIDE KOMBINATSIOONID	ANGIOTENSIN II ANTAGONISTS, COMBINATIONS
C09DA	Angiotensiin II antagonistid ja diureetikumid	Angiotensin II antagonists and diuretics
C09DA01	losartaan+hüdroklorotiasiid	Losartan+Hydrochlorothiazide
C09DA02	eprosartaan+hüdroklorotiasiid	Eprosartan+Hydrochlorothiazide
C09DA03	valsartaan+hüdroklorotiasiid	Valsartan+Hydrochlorothiazide
C09DA04	irbesartaan+hüdroklorotiasiid	Irbesartan+Hydrochlorothiazide
C09DA06	kandesartaan+hüdroklorotiasiid	Candesartan+Hydrochlorothiazide
C09DA07	telmisartaan+hüdroklorotiasiid	Telmisartan+Hydrochlorothiazide
C09DA08	olmesartaanmedoksomiil+hüdroklorotiasiid	Olmesartan medoxomil+Hydrochlorothiazide
C09DB	Angiotensiin II antagonistid ja kaltsiumikanali blokaatorid	Angiotensin II antagonists and calcium channel blockers
C09DB01	valsartaan+amlodipiin	Valsartan+Amlodipine
C09DB02	olmesartaanmedoksomiil+amlodipiin	Olmesartan medoxomil+Amlodipine
C09DB04	telmisartaan+amlodipiin	Telmisartan+Amlodipine
C09DB06	losartaan+amlodipiin	Losartan+Amlodipine
C09DB80	kandesartaan+amlodipiin	Candesartan+Amlodipine
C09DX	Angiotensiin II antagonistid, teised kombinatsioonid	Angiotensin II antagonists, other combinations
C09DX01	valsartaan+amlodipiin+hüdroklorotiasiid	Valsartan+Amlodipine+Hydrochlorothiazide
C09DX80	olmesartaanmedoksomiil+amlodipiin+hüdroklorotiasiid	Olmesartan medoxomil+Amlodipine+Hydrochlorothiazide
C09X	TEISED RENIIN-ANGIOTENSIINSÜSTEEMI TOIMIVAD AINED	OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09XA	Reniini inhibiitorid	Renin-inhibitors
C09XA01	remikireen	Remikiren
C09XA02	aliskireen	Aliskiren
C09XA52	aliskireen+hüdroklorotiasiid	Aliskiren+Hydrochlorothiazide
C09XA53	aliskireen+amlodipiin	Aliskiren+Amlodipine
C09XA54	aliskireen+amlodipiin+hüdroklorotiasiid	Aliskiren+Amlodipine+Hydrochlorothiazide
C10	LIPIIDISISALDUST MUUTVAD AINED	LIPID MODIFYING AGENTS
C10A	LIPIIDISISALDUST MUUTVAD AINED	LIPID MODIFYING AGENTS, PLAIN
C10AA	HMG-CoA-reduktaasi inhibiitorid	HMG CoA reductase inhibitors
C10AA01	simvastatiin	Simvastatin
C10AA02	lovastatiin	Lovastatin
C10AA03	pravastatiin	Pravastatin
C10AA04	fluvastatiin	Fluvastatin
C10AA05	atorvastatiin	Atorvastatin
C10AA06	tserivastatiin	Cerivastatin
C10AA07	rosuvastatiin	Rosuvastatin
C10AB	Fibraadid	Fibrates
C10AB01	klofibraat	Clofibrate
C10AB02	besafibraat	Bezafibrate
C10AB03	alumiiniumklofibraat	Aluminium clofibrate
C10AB04	gemfibrosiil	Gemfibrozil
C10AB05	fenofibraat	Fenofibrate
C10AB06	simfibraat	Simfibrate
C10AB07	ronifibraat	Ronifibrate
C10AB08	tsiprofibraat	Ciprofibrate
C10AB09	etofibraat	Etofibrate
C10AB10	klofibriid	Clofibride
C10AC	Sapphappeid väljutavad ained	Bile acid sequestrants
C10AC01	kolestüramiin	Colestyramine
C10AC02	kolestipool	Colestipol
C10AC03	kolekstraan	Colextran
C10AC04	kolesevelaam	Colesevelam
C10AD	Nikotiinhape ja selle derivaadid	Nicotinic acid and derivatives
C10AD01	nitseritrool	Niceritrol
C10AD02	nikotiinhape	Nicotinic acid
C10AD03	nikofuranoos	Nicofuranose
C10AD04	alumiiniumnikotinaat	Aluminium nicotinate
C10AD05	nikotinüülalkohol (püridüülkarbinool)	Nicotinyl alcohol (pyridylcarbinol)
C10AD06	atsipimoks	Acipimox
C10AD52	nikotiinhape+laropiprant	Nicotinic acid+Laropiprant
C10AX	Teised lipiidisisaldust muutvad ained	Other lipid modifying agents
C10AX01	naatriumdekstrotüroksiin	Dextrothyroxine sodium
C10AX02	probukool	Probucol
C10AX03	tiadenool	Tiadenol
C10AX05	meglutool	Meglutol
C10AX09	esetimiib	Ezetimibe
C10AX10	alipogeentiparvovek	alipogene tiparvovec
C10AX80	oomega-3-rasvhappe etüülestrid 90	Omega-3-acid ethyl esters 90
C10B	LIPIIDISISALDUST MUUTVATE AINETE KOMBINATSIOONID	LIPID MODIFYING AGENTS, COMBINATIONS
C10BA	HMG-CoA-reduktaasi inhibiitorite kombinatsioonid teiste vere lipiidisisaldust muutvate ainetega	HMG CoA reductase inhibitors in combination with other lipid modifying agents
C10BA02	simvastatiin+esetimiib	Simvastatin+Ezetimibe
C10BA03	pravastatiin+fenofibraat	Pravastatin+Fenofibrate
C10BA06	rosuvastatiin+esetimiib	Rosuvastatin+Ezetimibe
C10BX	Teised HMG-CoA-reduktaasi inhibiitorite kombinatsioonid	HMG CoA reductase inhibitors, other combinations
C10BX03	atorvastatiin+amlodipiin	Atorvastatin+Amlodipine
D	DERMATOLOOGIAS KASUTATAVAD AINED	DERMATOLOGICALS
D01	SEENEVASTASED AINED DERMATOLOOGILISEKS KASUTAMISEKS	ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A	SEENEVASTASED AINED PAIKSEKS KASUTAMISEKS	ANTIFUNGALS FOR TOPICAL USE
D01AA	Antibiootikumid	Antibiotics
D01AA01	nüstatiin	Nystatin
D01AA03	hakimütsiin	Hachimycin
D01AA04	petsilotsiin	Pecilocin
D01AA06	mepartritsiin	Mepartricin
D01AA07	pürrolnitriin	Pyrrolnitrin
D01AA08	griseofulviin	Griseofulvin
D01AC	Imidasooli ja triasooli derivaadid	Imidazole and triazole derivatives
D01AC01	klotrimasool	Clotrimazole
D01AC02	mikonasool	Miconazole
D01AC03	ekonasool	Econazole
D01AC04	kloormidasool	Chlormidazole
D01AC05	isokonasool	Isoconazole
D01AC06	tiabendasool	Tiabendazole
D01AC07	tiokonasool	Tioconazole
D01AC08	ketokonasool	Ketoconazole
D01AC09	sulkonasool	Sulconazole
D01AC10	bifonasool	Bifonazole
D01AC11	oksükonasool	Oxiconazole
D01AC12	fentikonasool	Fenticonazole
D01AC13	omokonasool	Omoconazole
D01AC80	isokonasool+diflukortoloon	Isoconazole+Diflucortolone
D01AC81	klotrimasool+heksamidiin	Clotrimazole+Hexamidine
D01AC82	klotrimasool+prednisoloon+heksamidiin	Clotrimazole+Prednisolone+Hexamidine
D01AC83	mikonasool+masipredoon	Miconazole+Mazipredone
D01AE	Teised seenevastased ained paikseks kasutamiseks	Other antifungals for topical use
D01AE00	PUUDU_EESTI	PUUDU_INGLISE
D01AE01	bromoklorosalitsüülaniliid	Bromochlorosalicylanilide
D01AE02	metüülrosaniliiniumkloriid	Methylrosanilinium chloride
D01AE04	undetsüleenhape	Undecylenic acid
D01AE05	polünoksüliin	Polynoxylin
D01AE07	kloorfenesiin	Chlorphenesin
D01AE08	tiklatoon	Ticlatone
D01AE09	sulbentiin	Sulbentine
D01AE11	haloprogiin	Haloprogin
D01AE12	salitsüülhape	Salicylic acid
D01AE14	tsiklopiroks	Ciclopirox
D01AE15	terbinafiin	Terbinafine
D01AE16	amorolfiin	Amorolfine
D01AE17	dimasool	Dimazole
D01AE18	tolnaftaat	Tolnaftate
D01AE19	toltsiklaat	Tolciclate
D01AE20	kombinatsioonid	Combinations
D01AE21	flutsütosiin	Flucytosine
D01AE22	naftifiin	Naftifine
D01AE23	butenafiin	Butenafine
